V1,V2,V3
-85.419315508,10.555,130
-85.4025018744911,10.555,115
-85.3856882409822,10.555,118
-85.3688746074733,10.555,113
-85.3520609739644,10.555,115
-85.3352473404555,10.555,130
-85.3184337069466,10.555,116
-85.3016200734377,10.555,106
-85.2848064399288,10.555,93
-85.2679928064199,10.555,105
-85.251179172911,10.555,121
-85.2343655394021,10.555,133
-85.2175519058932,10.555,150
-85.2007382723843,10.555,144
-85.1839246388754,10.555,129
-85.1671110053666,10.555,127
-85.1502973718576,10.555,124
-85.1334837383488,10.555,157
-85.1166701048399,10.555,213
-85.099856471331,10.555,224
-85.0830428378221,10.555,250
-85.0662292043132,10.555,318
-85.0494155708043,10.555,418
-85.0326019372954,10.555,491
-85.0157883037865,10.555,564
-84.9989746702776,10.555,655
-84.9821610367687,10.555,607
-84.9653474032598,10.555,559
-84.9485337697509,10.555,576
-84.931720136242,10.555,566
-84.9149065027331,10.555,600
-84.8980928692242,10.555,643
-84.8812792357153,10.555,737
-84.8644656022064,10.555,774
-84.8476519686975,10.555,731
-84.8308383351886,10.555,732
-84.8140247016797,10.555,696
-84.7972110681708,10.555,562
-84.7803974346619,10.555,393
-84.763583801153,10.555,280
-84.7467701676441,10.555,365
-84.7299565341352,10.555,462
-84.7131429006263,10.555,445
-84.6963292671174,10.555,377
-84.6795156336085,10.555,337
-84.6627020000996,10.555,312
-84.6458883665907,10.555,260
-84.6290747330819,10.555,255
-84.6122610995729,10.555,233
-84.5954474660641,10.555,183
-84.5786338325552,10.555,164
-84.5618201990463,10.555,144
-84.5450065655374,10.555,121
-84.5281929320285,10.555,88
-84.5113792985196,10.555,70
-84.4945656650107,10.555,72
-84.4777520315018,10.555,77
-84.4609383979929,10.555,83
-84.444124764484,10.555,86
-84.4273111309751,10.555,84
-84.4104974974662,10.555,80
-84.3936838639573,10.555,87
-84.3768702304484,10.555,72
-84.3600565969395,10.555,74
-84.3432429634306,10.555,71
-84.3264293299217,10.555,79
-84.3096156964128,10.555,69
-84.2928020629039,10.555,73
-84.275988429395,10.555,97
