V1,V2,V3
-74.9986950296122,28.663,-4933
-74.9651458196054,28.663,-4914
-74.9315966095986,28.663,-4899
-74.8980473995918,28.663,-4888
-74.864498189585,28.663,-4881
-74.8309489795782,28.663,-4876
-74.7973997695714,28.663,-4870
-74.7638505595646,28.663,-4856
-74.7303013495578,28.663,-4842
-74.696752139551,28.663,-4834
-74.6632029295442,28.663,-4836
-74.6296537195374,28.663,-4844
-74.5961045095306,28.663,-4829
-74.5625552995238,28.663,-4787
-74.529006089517,28.663,-4746
-74.4954568795102,28.663,-4733
-74.4619076695034,28.663,-4707
-74.4283584594966,28.663,-4660
-74.3948092494898,28.663,-4610
-74.361260039483,28.663,-4561
-74.3277108294762,28.663,-4513
-74.2941616194694,28.663,-4467
-74.2606124094626,28.663,-4437
-74.2270631994558,28.663,-4421
-74.193513989449,28.663,-4435
-74.1599647794422,28.663,-4477
-74.1264155694354,28.663,-4530
-74.0928663594286,28.663,-4550
-74.0593171494218,28.663,-4562
-74.025767939415,28.663,-4589
-73.9922187294082,28.663,-4624
-73.9586695194014,28.663,-4648
-73.9251203093946,28.663,-4641
-73.8915710993877,28.663,-4614
-73.858021889381,28.663,-4596
-73.8244726793741,28.663,-4580
-73.7909234693673,28.663,-4586
-73.7573742593605,28.663,-4619
-73.7238250493537,28.663,-4654
-73.6902758393469,28.663,-4678
-73.6567266293401,28.663,-4695
-73.6231774193333,28.663,-4705
-73.5896282093265,28.663,-4697
-73.5560789993197,28.663,-4668
-73.5225297893129,28.663,-4632
-73.4889805793061,28.663,-4608
-73.4554313692993,28.663,-4598
-73.4218821592925,28.663,-4603
-73.3883329492857,28.663,-4616
-73.3547837392789,28.663,-4626
-73.3212345292721,28.663,-4635
-73.2876853192653,28.663,-4646
-73.2541361092585,28.663,-4655
-73.2205868992517,28.663,-4638
-73.1870376892449,28.663,-4620
-73.1534884792381,28.663,-4619
-73.1199392692313,28.663,-4628
-73.0863900592245,28.663,-4633
-73.0528408492177,28.663,-4625
-73.0192916392109,28.663,-4595
-72.9857424292041,28.663,-4561
-72.9521932191973,28.663,-4553
-72.9186440091905,28.663,-4572
-72.8850947991837,28.663,-4592
-72.8515455891769,28.663,-4599
-72.8179963791701,28.663,-4612
-72.7844471691633,28.663,-4625
-72.7508979591565,28.663,-4626
-72.7173487491497,28.663,-4618
-72.6837995391429,28.663,-4606
-72.650250329136,28.663,-4605
-72.6167011191292,28.663,-4622
-72.5831519091224,28.663,-4640
-72.5496026991156,28.663,-4654
-72.5160534891088,28.663,-4667
-72.482504279102,28.663,-4690
-72.4489550690952,28.663,-4713
-72.4154058590884,28.663,-4719
-72.3818566490816,28.663,-4715
-72.3483074390748,28.663,-4721
-72.314758229068,28.663,-4752
-72.2812090190612,28.663,-4796
-72.2476598090544,28.663,-4827
-72.2141105990476,28.663,-4831
-72.1805613890408,28.663,-4815
-72.147012179034,28.663,-4797
-72.1134629690272,28.663,-4804
-72.0799137590204,28.663,-4860
-72.0463645490136,28.663,-4924
-72.0128153390068,28.663,-4956
-71.979266129,28.663,-4950
-81.842733871,28.6292926829268,37
-81.8091846609932,28.6292926829268,34
-81.7756354509864,28.6292926829268,38
-81.7420862409796,28.6292926829268,51
-81.7085370309728,28.6292926829268,27
-81.674987820966,28.6292926829268,17
-81.6414386109592,28.6292926829268,17
-81.6078894009524,28.6292926829268,17
-81.5743401909456,28.6292926829268,23
-81.5407909809388,28.6292926829268,36
-81.507241770932,28.6292926829268,34
-81.4736925609252,28.6292926829268,34
-81.4401433509184,28.6292926829268,31
-81.4065941409116,28.6292926829268,33
-81.3730449309048,28.6292926829268,30
-81.339495720898,28.6292926829268,30
-81.3059465108911,28.6292926829268,27
-81.2723973008844,28.6292926829268,22
-81.2388480908775,28.6292926829268,20
-81.2052988808707,28.6292926829268,20
-81.1717496708639,28.6292926829268,19
-81.1382004608571,28.6292926829268,21
-81.1046512508503,28.6292926829268,22
-81.0711020408435,28.6292926829268,17
-81.0375528308367,28.6292926829268,11
-81.0040036208299,28.6292926829268,4
-80.9704544108231,28.6292926829268,5
-80.9369052008163,28.6292926829268,3
-80.9033559908095,28.6292926829268,5
-80.8698067808027,28.6292926829268,9
-80.8362575707959,28.6292926829268,7
-80.8027083607891,28.6292926829268,-1
-80.7691591507823,28.6292926829268,1
-80.7356099407755,28.6292926829268,3
-80.7020607307687,28.6292926829268,4
-80.6685115207619,28.6292926829268,3
-80.6349623107551,28.6292926829268,0
-80.6014131007483,28.6292926829268,-8
-80.5678638907415,28.6292926829268,-11
-80.5343146807347,28.6292926829268,-12
-80.5007654707279,28.6292926829268,-16
-80.4672162607211,28.6292926829268,-15
-80.4336670507143,28.6292926829268,-9
-80.4001178407075,28.6292926829268,-16
-80.3665686307007,28.6292926829268,-22
-80.3330194206939,28.6292926829268,-26
-80.2994702106871,28.6292926829268,-31
-80.2659210006803,28.6292926829268,-34
-80.2323717906735,28.6292926829268,-40
-80.1988225806667,28.6292926829268,-45
-80.1652733706599,28.6292926829268,-50
-80.1317241606531,28.6292926829268,-60
-80.0981749506463,28.6292926829268,-69
-80.0646257406394,28.6292926829268,-79
-80.0310765306326,28.6292926829268,-112
-79.9975273206258,28.6292926829268,-161
-79.963978110619,28.6292926829268,-205
-79.9304289006122,28.6292926829268,-257
-79.8968796906054,28.6292926829268,-307
-79.8633304805986,28.6292926829268,-358
-79.8297812705918,28.6292926829268,-411
-79.796232060585,28.6292926829268,-458
-79.7626828505782,28.6292926829268,-503
-79.7291336405714,28.6292926829268,-576
-79.6955844305646,28.6292926829268,-679
-79.6620352205578,28.6292926829268,-749
-79.628486010551,28.6292926829268,-790
-79.5949368005442,28.6292926829268,-786
-79.5613875905374,28.6292926829268,-786
-79.5278383805306,28.6292926829268,-791
-79.4942891705238,28.6292926829268,-810
-79.460739960517,28.6292926829268,-824
-79.4271907505102,28.6292926829268,-825
-79.3936415405034,28.6292926829268,-820
-79.3600923304966,28.6292926829268,-825
-79.3265431204898,28.6292926829268,-830
-79.292993910483,28.6292926829268,-832
-79.2594447004762,28.6292926829268,-831
-79.2258954904694,28.6292926829268,-831
-79.1923462804626,28.6292926829268,-835
-79.1587970704558,28.6292926829268,-833
-79.125247860449,28.6292926829268,-830
-79.0916986504422,28.6292926829268,-832
-79.0581494404354,28.6292926829268,-831
-79.0246002304286,28.6292926829268,-830
-78.9910510204218,28.6292926829268,-830
-78.957501810415,28.6292926829268,-831
-78.9239526004082,28.6292926829268,-836
-78.8904033904014,28.6292926829268,-845
-78.8568541803945,28.6292926829268,-853
-78.8233049703878,28.6292926829268,-861
-78.7897557603809,28.6292926829268,-868
-78.7562065503741,28.6292926829268,-875
-78.7226573403673,28.6292926829268,-881
-78.6891081303605,28.6292926829268,-888
-78.6555589203537,28.6292926829268,-896
-78.6220097103469,28.6292926829268,-903
-78.5884605003401,28.6292926829268,-910
-78.5549112903333,28.6292926829268,-916
-78.5213620803265,28.6292926829268,-922
-78.4878128703197,28.6292926829268,-929
-78.4542636603129,28.6292926829268,-936
-78.4207144503061,28.6292926829268,-941
-78.3871652402993,28.6292926829268,-947
-78.3536160302925,28.6292926829268,-953
-78.3200668202857,28.6292926829268,-958
-78.2865176102789,28.6292926829268,-963
-78.2529684002721,28.6292926829268,-968
-78.2194191902653,28.6292926829268,-972
-78.1858699802585,28.6292926829268,-978
-78.1523207702517,28.6292926829268,-985
-78.1187715602449,28.6292926829268,-992
-78.0852223502381,28.6292926829268,-997
-78.0516731402313,28.6292926829268,-1002
-78.0181239302245,28.6292926829268,-1002
-77.9845747202177,28.6292926829268,-1010
-77.9510255102109,28.6292926829268,-1019
-77.9174763002041,28.6292926829268,-1024
-77.8839270901973,28.6292926829268,-1027
-77.8503778801905,28.6292926829268,-1028
-77.8168286701837,28.6292926829268,-1028
-77.7832794601769,28.6292926829268,-1027
-77.7497302501701,28.6292926829268,-1027
-77.7161810401633,28.6292926829268,-1027
-77.6826318301565,28.6292926829268,-1028
-77.6490826201497,28.6292926829268,-1026
-77.6155334101428,28.6292926829268,-1024
-77.581984200136,28.6292926829268,-1023
-77.5484349901293,28.6292926829268,-1019
-77.5148857801224,28.6292926829268,-1019
-77.4813365701156,28.6292926829268,-1021
-77.4477873601088,28.6292926829268,-1023
-77.414238150102,28.6292926829268,-1030
-77.3806889400952,28.6292926829268,-1033
-77.3471397300884,28.6292926829268,-1033
-77.3135905200816,28.6292926829268,-1037
-77.2800413100748,28.6292926829268,-1043
-77.246492100068,28.6292926829268,-1049
-77.2129428900612,28.6292926829268,-1053
-77.1793936800544,28.6292926829268,-1054
-77.1458444700476,28.6292926829268,-1062
-77.1122952600408,28.6292926829268,-1072
-77.078746050034,28.6292926829268,-1083
-77.0451968400272,28.6292926829268,-1091
-77.0116476300204,28.6292926829268,-1097
-76.9780984200136,28.6292926829268,-1111
-76.9445492100068,28.6292926829268,-1133
-76.911,28.6292926829268,-1160
-76.8774507899932,28.6292926829268,-1183
-76.8439015799864,28.6292926829268,-1223
-76.8103523699796,28.6292926829268,-1271
-76.7768031599728,28.6292926829268,-1318
-76.743253949966,28.6292926829268,-1352
-76.7097047399592,28.6292926829268,-2027
-76.6761555299524,28.6292926829268,-3410
-76.6426063199456,28.6292926829268,-4662
-76.6090571099388,28.6292926829268,-5033
-76.575507899932,28.6292926829268,-5024
-76.5419586899252,28.6292926829268,-5014
-76.5084094799184,28.6292926829268,-5010
-76.4748602699116,28.6292926829268,-5006
-76.4413110599048,28.6292926829268,-4991
-76.407761849898,28.6292926829268,-4986
-76.3742126398912,28.6292926829268,-4990
-76.3406634298843,28.6292926829268,-4994
-76.3071142198775,28.6292926829268,-4994
-76.2735650098707,28.6292926829268,-4991
-76.2400157998639,28.6292926829268,-4988
-76.2064665898571,28.6292926829268,-4987
-76.1729173798503,28.6292926829268,-4994
-76.1393681698435,28.6292926829268,-4995
-76.1058189598367,28.6292926829268,-4993
-76.0722697498299,28.6292926829268,-4989
-76.0387205398231,28.6292926829268,-4993
-76.0051713298163,28.6292926829268,-4985
-75.9716221198095,28.6292926829268,-4986
-75.9380729098027,28.6292926829268,-4992
-75.9045236997959,28.6292926829268,-4991
-75.8709744897891,28.6292926829268,-4989
-75.8374252797823,28.6292926829268,-4986
-75.8038760697755,28.6292926829268,-4988
-75.7703268597687,28.6292926829268,-4992
-75.7367776497619,28.6292926829268,-4989
-75.7032284397551,28.6292926829268,-4991
-75.6696792297483,28.6292926829268,-4996
-75.6361300197415,28.6292926829268,-5004
-75.6025808097347,28.6292926829268,-5003
-75.5690315997279,28.6292926829268,-4999
